                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.48022,                0.83118,                0.48336,                0.93325,                0.85017,                0.84982,                0.86357,                0.73897,                 0.8505,                0.85063,                0.86304,                0.70557,                0.54949,                 1.2289,                0.67549,                0.92731,               0.000406,               0.000406,               0.000406
                     62,                0.47947,                 0.8324,                0.47936,                0.93304,                0.84829,                0.85223,                0.86314,                0.73915,                0.84694,                0.85387,                0.86333,                0.70624,                0.55198,                 1.2344,                0.67494,                0.93069,              0.0003961,              0.0003961,              0.0003961
                     63,                0.48068,                0.83139,                0.47899,                0.93273,                0.84934,                0.84998,                0.86366,                0.74055,                0.85025,                0.85011,                0.86362,                0.70759,                0.55251,                 1.2397,                0.67322,                0.93212,              0.0003862,              0.0003862,              0.0003862
                     64,                0.47612,                0.82558,                0.47525,                0.93174,                0.84966,                0.84748,                0.86382,                0.73995,                0.84976,                0.84986,                0.86346,                0.70634,                0.55341,                 1.2431,                0.67636,                0.93289,              0.0003763,              0.0003763,              0.0003763
                     65,                0.47113,                0.82012,                0.46914,                0.93009,                0.84686,                0.84925,                0.86357,                 0.7394,                0.84669,                0.85131,                0.86347,                0.70597,                0.55381,                 1.2496,                0.67482,                0.93387,              0.0003664,              0.0003664,              0.0003664
                     66,                0.47051,                0.81687,                  0.467,                0.92822,                0.84941,                0.84749,                0.86333,                0.73887,                 0.8458,                0.85089,                0.86318,                0.70493,                0.55353,                 1.2532,                0.67567,                0.93442,              0.0003565,              0.0003565,              0.0003565
                     67,                0.46902,                0.81257,                0.46475,                0.92732,                0.85121,                0.84396,                0.86281,                0.73925,                0.85036,                0.84664,                0.86276,                0.70488,                0.55321,                 1.2513,                0.67916,                0.93484,              0.0003466,              0.0003466,              0.0003466
                     68,                0.46718,                0.81142,                0.46138,                0.92681,                0.85044,                0.84689,                0.86259,                0.73938,                 0.8492,                0.84823,                 0.8627,                0.70475,                0.55147,                  1.253,                0.67949,                 0.9337,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.4673,                0.80657,                0.46057,                0.92757,                 0.8484,                0.84686,                0.86262,                0.73956,                0.84843,                0.84883,                0.86272,                0.70453,                0.55162,                 1.2548,                0.68031,                0.93369,              0.0003268,              0.0003268,              0.0003268
                     70,                0.46416,                0.80495,                0.45449,                0.92431,                0.85314,                 0.8448,                0.86274,                0.73938,                0.85094,                0.84785,                0.86252,                0.70481,                0.55106,                  1.256,                0.68112,                0.93287,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.4617,                 0.7963,                0.45443,                0.92463,                0.85334,                0.84518,                  0.863,                0.73931,                0.85189,                0.84738,                0.86257,                0.70456,                0.55082,                 1.2576,                0.68224,                0.93287,               0.000307,               0.000307,               0.000307
                     72,                0.46029,                0.79344,                0.45289,                0.92461,                0.85176,                0.84581,                0.86336,                0.73928,                0.85018,                 0.8474,                0.86259,                0.70477,                0.55146,                 1.2623,                0.68133,                0.93343,              0.0002971,              0.0002971,              0.0002971
                     73,                0.45996,                0.79649,                 0.4477,                0.92407,                0.85347,                 0.8455,                0.86303,                 0.7389,                0.85188,                0.84674,                0.86255,                0.70466,                  0.551,                 1.2641,                0.68206,                0.93291,              0.0002872,              0.0002872,              0.0002872
                     74,                0.45791,                0.79443,                0.44268,                0.92217,                0.84993,                0.84703,                0.86274,                0.73952,                0.84918,                0.84706,                0.86234,                0.70443,                0.55136,                  1.264,                0.68136,                0.93249,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.4526,                 0.7889,                0.43947,                0.91898,                0.84946,                0.84855,                0.86252,                 0.7396,                0.84936,                0.84809,                0.86213,                0.70509,                0.55109,                 1.2623,                0.68174,                0.93254,              0.0002674,              0.0002674,              0.0002674
                     76,                0.45447,                0.78725,                0.44029,                0.92059,                0.84908,                0.84962,                0.86236,                 0.7397,                0.84813,                0.85114,                0.86206,                0.70514,                0.55046,                 1.2607,                0.68077,                0.93213,              0.0002575,              0.0002575,              0.0002575
                     77,                0.45036,                0.78152,                0.43544,                0.91879,                0.84927,                0.84878,                0.86193,                 0.7399,                0.85008,                0.84997,                0.86216,                0.70506,                0.55065,                 1.2614,                0.68063,                0.93172,              0.0002476,              0.0002476,              0.0002476
                     78,                0.44932,                0.77848,                0.43308,                0.91897,                0.84922,                0.84864,                 0.8622,                0.73989,                0.85008,                0.84987,                0.86183,                0.70528,                0.55023,                  1.263,                0.67999,                0.93125,              0.0002377,              0.0002377,              0.0002377
                     79,                0.44653,                0.77471,                0.42859,                0.91599,                0.85057,                0.84677,                  0.862,                0.73946,                0.85125,                0.84854,                0.86156,                0.70482,                0.55054,                 1.2648,                0.68056,                0.93158,              0.0002278,              0.0002278,              0.0002278
                     80,                0.44412,                0.76964,                0.42664,                0.91566,                0.85179,                0.84609,                0.86209,                0.73963,                0.85308,                0.84723,                0.86242,                 0.7053,                0.55065,                 1.2669,                0.68051,                0.93187,              0.0002179,              0.0002179,              0.0002179
                     81,                0.44345,                0.76526,                0.42279,                0.91437,                0.85291,                0.84666,                0.86213,                0.73954,                0.85418,                0.84794,                0.86226,                  0.705,                0.55023,                 1.2699,                0.68047,                0.93165,               0.000208,               0.000208,               0.000208
                     82,                0.44114,                0.76655,                0.42145,                0.91335,                0.85251,                0.84631,                0.86173,                0.73963,                0.85365,                0.84782,                0.86187,                0.70493,                0.54994,                 1.2699,                0.67941,                0.93153,              0.0001981,              0.0001981,              0.0001981
                     83,                0.43916,                 0.7638,                0.41766,                  0.914,                0.85256,                 0.8447,                0.86212,                0.73977,                0.85414,                0.84665,                0.86209,                0.70532,                0.54887,                 1.2702,                0.67951,                0.93078,              0.0001882,              0.0001882,              0.0001882
                     84,                0.43866,                0.76084,                0.41507,                0.91279,                0.85117,                0.84325,                0.86073,                0.73877,                0.85346,                0.84635,                0.86228,                0.70574,                0.54871,                 1.2723,                0.67958,                0.93102,              0.0001783,              0.0001783,              0.0001783
                     85,                0.43585,                0.75517,                0.41223,                0.91136,                0.85099,                0.84295,                0.86077,                0.73957,                0.85257,                0.84701,                0.86221,                0.70543,                0.54823,                 1.2745,                0.67898,                0.93069,              0.0001684,              0.0001684,              0.0001684
                     86,                0.43302,                0.74984,                0.40718,                 0.9089,                0.85209,                 0.8412,                 0.8606,                0.73882,                0.85259,                0.84645,                0.86221,                 0.7053,                0.54818,                 1.2754,                0.67875,                0.93064,              0.0001585,              0.0001585,              0.0001585
                     87,                0.42969,                0.74625,                0.40286,                0.90896,                0.85233,                0.84077,                0.86043,                0.73914,                0.85475,                0.84461,                0.86226,                 0.7054,                 0.5487,                 1.2758,                0.67812,                0.93108,              0.0001486,              0.0001486,              0.0001486
