                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.81887,                 1.8978,                 1.1652,                 1.1437,                0.85027,                0.82553,                0.85858,                0.71879,                0.85078,                0.82684,                0.85632,                0.68888,                0.61305,                  1.102,                0.72281,                0.98142,              8.416e-05,              8.416e-05,              8.416e-05
                     50,                0.81949,                 1.9025,                 1.1651,                 1.1432,                 0.8406,                0.83338,                0.85726,                0.71871,                0.84108,                0.83645,                0.85565,                0.68882,                 0.6125,                 1.1036,                0.72405,                0.98164,              8.383e-05,              8.383e-05,              8.383e-05
                     51,                0.81478,                 1.8863,                 1.1521,                 1.1407,                0.83628,                 0.8381,                0.85757,                0.71832,                0.83703,                0.83952,                0.85666,                0.68819,                0.61365,                  1.103,                0.72551,                0.98237,               8.35e-05,               8.35e-05,               8.35e-05
                     52,                0.81848,                 1.8996,                 1.1578,                  1.142,                0.83795,                0.83794,                0.85767,                0.71837,                0.83946,                0.83825,                0.85633,                0.68801,                0.61362,                 1.1022,                0.72657,                0.98278,              8.317e-05,              8.317e-05,              8.317e-05
                     53,                0.81878,                 1.8935,                 1.1559,                 1.1423,                0.83523,                0.83908,                0.85756,                0.71918,                0.83915,                0.83829,                 0.8562,                0.68898,                0.61222,                 1.1018,                0.72446,                0.98158,              8.284e-05,              8.284e-05,              8.284e-05
                     54,                0.81738,                 1.8851,                 1.1485,                 1.1407,                0.83227,                 0.8419,                0.85811,                0.71917,                0.83719,                0.84216,                0.85676,                0.68924,                0.61356,                 1.1025,                 0.7242,                0.98242,              8.251e-05,              8.251e-05,              8.251e-05
                     55,                0.81807,                 1.8908,                 1.1539,                 1.1424,                0.83426,                0.84205,                0.85743,                 0.7191,                0.83622,                0.84362,                0.85647,                0.68964,                0.61416,                 1.1032,                0.72367,                0.98363,              8.218e-05,              8.218e-05,              8.218e-05
                     56,                0.81586,                 1.8909,                 1.1452,                 1.1404,                0.83501,                0.83885,                0.85735,                0.71924,                 0.8378,                0.83818,                0.85554,                0.68938,                0.61478,                 1.1045,                0.72182,                0.98427,              8.185e-05,              8.185e-05,              8.185e-05
                     57,                0.81589,                  1.889,                 1.1464,                 1.1403,                0.83769,                0.83711,                0.85687,                0.71976,                0.84212,                0.83563,                0.85571,                0.69006,                0.61493,                 1.1042,                0.72086,                0.98434,              8.152e-05,              8.152e-05,              8.152e-05
                     58,                0.81524,                 1.8769,                  1.141,                 1.1411,                0.84101,                0.83611,                0.85701,                0.72009,                0.84366,                0.83692,                0.85593,                0.69078,                0.61528,                 1.1033,                 0.7206,                0.98468,              8.119e-05,              8.119e-05,              8.119e-05
                     59,                0.81638,                 1.8837,                 1.1475,                 1.1408,                0.84456,                 0.8324,                0.85716,                0.71954,                0.84546,                0.83412,                0.85632,                0.69098,                0.61589,                 1.1016,                0.71951,                0.98503,              8.086e-05,              8.086e-05,              8.086e-05
                     60,                0.81678,                 1.8922,                 1.1478,                 1.1417,                0.84449,                0.83206,                 0.8567,                0.71988,                0.84651,                 0.8338,                0.85618,                0.69165,                0.61606,                 1.1001,                0.71902,                0.98528,              8.053e-05,              8.053e-05,              8.053e-05
                     61,                0.81409,                 1.8766,                 1.1393,                 1.1402,                0.84285,                0.83512,                0.85705,                0.72011,                0.84506,                0.83658,                0.85621,                0.69174,                0.61644,                 1.0996,                0.71828,                0.98573,               8.02e-05,               8.02e-05,               8.02e-05
                     62,                0.81893,                 1.8889,                 1.1419,                 1.1415,                0.84341,                0.83541,                0.85745,                 0.7202,                0.84424,                0.83643,                0.85652,                0.69239,                 0.6164,                 1.0985,                0.71773,                0.98579,              7.987e-05,              7.987e-05,              7.987e-05
                     63,                0.81422,                 1.8661,                 1.1368,                 1.1392,                0.84428,                0.83476,                0.85751,                0.72059,                0.84574,                0.83464,                0.85674,                0.69333,                0.61603,                 1.0971,                0.71698,                0.98555,              7.954e-05,              7.954e-05,              7.954e-05
                     64,                0.81606,                 1.8868,                  1.136,                 1.1403,                0.84134,                0.83601,                0.85772,                0.72079,                0.84301,                0.83709,                0.85704,                0.69383,                0.61563,                 1.0974,                 0.7165,                0.98545,              7.921e-05,              7.921e-05,              7.921e-05
                     65,                0.81201,                 1.8734,                 1.1369,                 1.1388,                0.84072,                0.83451,                0.85755,                0.72097,                0.84347,                0.83588,                0.85729,                0.69377,                0.61563,                 1.0974,                0.71578,                0.98579,              7.888e-05,              7.888e-05,              7.888e-05
