                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80519,                 1.8564,                 1.1303,                 1.1388,                0.85426,                0.83394,                0.85725,                0.71373,                0.85374,                0.83473,                0.85412,                0.68705,                0.62992,                 1.1144,                0.74587,                 1.0015,              8.911e-05,              8.911e-05,              8.911e-05
                     35,                0.80134,                 1.8411,                 1.1218,                 1.1372,                0.83808,                0.84145,                0.85957,                0.71785,                0.83972,                0.83921,                0.85616,                0.68831,                0.62916,                  1.114,                0.73731,                 1.0005,              8.878e-05,              8.878e-05,              8.878e-05
                     36,                0.80128,                 1.8447,                 1.1261,                 1.1366,                 0.8494,                0.83236,                 0.8594,                0.71754,                 0.8496,                0.83117,                0.85572,                0.68847,                0.62965,                 1.1116,                0.73117,                0.99839,              8.845e-05,              8.845e-05,              8.845e-05
                     37,                0.79823,                 1.8354,                 1.1165,                 1.1352,                0.84066,                0.84161,                0.86068,                0.71768,                0.84363,                0.83968,                0.85709,                0.68951,                 0.6314,                 1.1091,                0.73321,                 1.0044,              8.812e-05,              8.812e-05,              8.812e-05
                     38,                0.79561,                 1.8311,                 1.1088,                 1.1333,                0.84109,                0.84447,                0.86142,                 0.7185,                0.84735,                0.84094,                0.85736,                0.68969,                0.62891,                 1.1173,                0.72728,                 1.0014,              8.779e-05,              8.779e-05,              8.779e-05
                     39,                0.79514,                 1.8357,                 1.1054,                 1.1331,                0.85357,                0.83613,                0.86001,                0.71744,                0.85432,                0.83863,                0.85742,                0.69075,                0.62937,                 1.1263,                0.72856,                 1.0025,              8.746e-05,              8.746e-05,              8.746e-05
                     40,                0.79424,                 1.8314,                 1.1045,                 1.1333,                0.84986,                0.84515,                0.86029,                0.72004,                0.85025,                0.84545,                0.85765,                0.69044,                0.62846,                 1.1253,                0.73072,                  1.001,              8.713e-05,              8.713e-05,              8.713e-05
                     41,                0.80042,                 1.8382,                  1.106,                 1.1369,                0.85136,                0.84005,                0.85965,                0.71887,                0.85439,                0.84077,                0.85704,                0.69025,                0.63022,                 1.1194,                0.72964,                 1.0034,               8.68e-05,               8.68e-05,               8.68e-05
                     42,                0.79399,                 1.8186,                 1.1018,                 1.1322,                 0.8455,                0.84227,                0.86119,                0.72107,                0.85603,                0.83162,                 0.8574,                0.69235,                0.62728,                 1.1077,                0.72564,                 1.0007,              8.647e-05,              8.647e-05,              8.647e-05
                     43,                0.79917,                 1.8417,                 1.1054,                 1.1347,                0.85624,                0.83385,                 0.8613,                0.72042,                0.85927,                0.83348,                0.85702,                0.69248,                0.62553,                 1.1061,                0.72733,                 1.0005,              8.614e-05,              8.614e-05,              8.614e-05
                     44,                0.79781,                 1.8318,                 1.1006,                 1.1353,                0.84278,                0.84835,                0.86012,                0.71969,                0.84419,                  0.845,                0.85515,                0.69067,                0.62418,                 1.1121,                0.72658,                 1.0002,              8.581e-05,              8.581e-05,              8.581e-05
                     45,                0.79468,                 1.8273,                 1.0972,                 1.1332,                0.84179,                0.84609,                0.85906,                0.71849,                0.84134,                0.84655,                0.85537,                0.69125,                0.62275,                 1.1119,                0.72909,                0.99888,              8.548e-05,              8.548e-05,              8.548e-05
                     46,                0.79562,                 1.8288,                 1.0969,                 1.1349,                0.85194,                 0.8458,                0.86027,                0.71924,                 0.8534,                0.84416,                 0.8573,                0.69385,                0.62418,                 1.1087,                0.72634,                0.99891,              8.515e-05,              8.515e-05,              8.515e-05
                     47,                0.79143,                 1.8207,                 1.0898,                 1.1305,                0.85358,                0.84044,                0.86059,                0.72162,                 0.8549,                0.84191,                0.85721,                0.69371,                0.62327,                 1.1106,                0.72236,                0.99961,              8.482e-05,              8.482e-05,              8.482e-05
                     48,                0.79537,                 1.8325,                 1.0926,                 1.1337,                0.84536,                0.84305,                0.86029,                 0.7215,                0.85281,                0.84171,                0.85689,                0.69495,                  0.622,                 1.1088,                0.72478,                0.99818,              8.449e-05,              8.449e-05,              8.449e-05
                     49,                0.79332,                 1.8232,                 1.0911,                 1.1333,                0.84827,                0.84172,                0.86151,                0.72234,                0.85246,                0.84317,                0.85804,                0.69581,                0.62031,                 1.1072,                0.72162,                0.99665,              8.416e-05,              8.416e-05,              8.416e-05
                     50,                0.79184,                 1.8189,                 1.0867,                 1.1319,                0.84849,                0.83947,                0.86186,                0.72402,                0.85076,                0.84266,                0.85735,                0.69669,                0.61901,                 1.1114,                 0.7216,                0.99607,              8.383e-05,              8.383e-05,              8.383e-05
                     51,                0.79108,                 1.8167,                 1.0847,                   1.13,                0.84878,                0.83909,                  0.862,                0.72378,                0.85145,                0.84329,                0.85838,                0.69735,                0.61896,                 1.1139,                0.71948,                0.99675,               8.35e-05,               8.35e-05,               8.35e-05
