                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.44123,                0.79292,                0.47945,                0.95736,                0.84141,                0.84832,                0.87186,                0.75151,                0.84446,                0.84903,                0.87208,                0.72043,                0.51486,                 1.2141,                0.62007,                 1.0078,              0.0006139,              0.0006139,              0.0006139
                     41,                0.43947,                0.78563,                0.47763,                0.95465,                0.82757,                0.86196,                0.87118,                0.75219,                0.84114,                0.84809,                0.87235,                0.71985,                0.51602,                 1.2092,                 0.6142,                 1.0113,               0.000604,               0.000604,               0.000604
                     42,                0.43855,                0.78311,                0.47517,                0.95497,                0.82917,                0.86161,                0.87294,                0.75343,                0.83685,                0.85967,                0.87271,                0.72059,                0.51781,                 1.2216,                0.61588,                 1.0148,              0.0005941,              0.0005941,              0.0005941
                     43,                0.43249,                0.77365,                0.46266,                0.95023,                0.83332,                0.85357,                 0.8718,                0.75343,                0.83834,                0.85339,                0.87107,                0.72013,                 0.5218,                 1.2269,                0.61932,                 1.0208,              0.0005842,              0.0005842,              0.0005842
                     44,                0.42991,                0.76524,                 0.4579,                0.94969,                0.82593,                0.86235,                0.87087,                0.75485,                0.83602,                0.85798,                0.87102,                0.72008,                0.51753,                 1.2248,                0.61948,                 1.0161,              0.0005743,              0.0005743,              0.0005743
                     45,                0.42615,                0.76766,                0.45582,                0.94891,                 0.8243,                0.86019,                 0.8699,                0.75253,                0.83695,                0.85582,                 0.8706,                0.72036,                0.51292,                 1.2296,                0.61593,                 1.0119,              0.0005644,              0.0005644,              0.0005644
                     46,                0.42596,                0.75192,                0.45223,                0.94811,                0.82452,                0.86423,                0.87022,                0.75282,                0.82849,                0.86339,                0.87004,                0.71946,                 0.5176,                  1.234,                0.61911,                 1.0162,              0.0005545,              0.0005545,              0.0005545
                     47,                0.42308,                0.75359,                0.44865,                0.94506,                0.81969,                0.86883,                0.86962,                0.75339,                0.82235,                0.86708,                0.86953,                0.72079,                0.51929,                 1.2415,                0.62263,                 1.0181,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.4198,                0.75152,                0.44419,                0.94367,                0.81994,                0.86913,                0.86942,                0.75328,                0.83656,                0.85106,                0.87011,                 0.7213,                0.51445,                 1.2439,                0.62502,                 1.0134,              0.0005347,              0.0005347,              0.0005347
                     49,                0.41832,                0.74185,                0.44124,                0.94244,                  0.821,                0.86715,                0.86861,                0.75317,                0.83266,                0.85998,                0.87007,                0.72137,                0.51355,                 1.2464,                0.62385,                 1.0143,              0.0005248,              0.0005248,              0.0005248
